TractFIPS,StateAbbr,burden,resid,resilience_score,GEOID,LILATracts_1And10,County,State,PovertyRate,MedianFamilyIncome,Pop2010,Urban,latitude,longitude,Type
1125011703,AL,2.613243,1.599791,-2.678677,01125011703,1,Tuscaloosa County,Alabama,41.1,25934.0,4204,1,33.1729965,-87.5920135,Urban
22017021700,LA,2.433295,1.595461,-2.671427,22017021700,1,Caddo Parish,Louisiana,48.2,24000.0,2019,1,32.4759491,-93.7672087,Urban
48245000700,TX,2.046632,1.586776,-2.656886,48245000700,1,Jefferson County,Texas,35.4,30433.0,2975,1,30.1158115,-94.0980855,Urban
4013071702,AZ,1.812184,1.585915,-2.655444,04013071702,1,Maricopa County,Arizona,11.6,36518.0,3219,1,33.5855768,-112.2958744,Urban
13095010601,GA,2.076218,1.583892,-2.652056,13095010601,1,Dougherty County,Georgia,48.7,18615.0,2423,1,31.5466611,-84.1563006,Urban
39049002900,OH,2.43403,1.576037,-2.638904,39049002900,1,Franklin County,Ohio,68.6,12703.0,2368,1,39.9757644,-82.9751685,Urban
21111005000,KY,2.374972,1.575075,-2.637293,21111005000,1,Jefferson County,Kentucky,35.9,23723.0,1653,1,38.2417935,-85.7597718,Urban
37067000301,NC,2.033852,1.568268,-2.625895,37067000301,1,Forsyth County,North Carolina,53.8,19674.0,1799,1,36.1110323,-80.2529776,Urban
34029716000,NJ,1.744709,1.562283,-2.615874,34029716000,1,Ocean County,New Jersey,6.3,61726.0,4217,1,40.0452911,-74.1643591,Urban
29155470200,MO,2.192217,1.561895,-2.615224,29155470200,1,Pemiscot County,Missouri,40.8,33205.0,3613,1,36.2311685,-89.77588,Urban
28027950700,MS,2.559771,1.559428,-2.611094,28027950700,1,Coahoma County,Mississippi,46.2,22793.0,5497,1,34.1924734,-90.5514606,Urban
48201233600,TX,1.997624,1.554501,-2.602845,48201233600,1,Harris County,Texas,44.5,30313.0,2127,1,29.7564963,-95.260864,Urban
48027020800,TX,1.926588,1.55107,-2.5971,48027020800,1,Bell County,Texas,41.4,37500.0,3528,1,31.054339,-97.3032872,Urban
39099814100,OH,2.428269,1.550854,-2.596737,39099814100,1,Mahoning County,Ohio,60.5,19313.0,2608,1,41.1193484,-80.6946481,Urban
22079013900,LA,2.406615,1.544911,-2.586787,22079013900,1,Rapides Parish,Louisiana,55.5,23160.0,3126,1,31.3096988,-92.4495017,Urban
39113004300,OH,2.424111,1.541578,-2.581206,39113004300,1,Montgomery County,Ohio,46.4,26085.0,2036,1,39.7163836,-84.244459,Urban
48061013203,TX,1.929941,1.540893,-2.580059,48061013203,1,Cameron County,Texas,48.7,23100.0,2236,1,25.9336986,-97.4379312,Urban
48201212500,TX,1.980793,1.537781,-2.574849,48201212500,1,Harris County,Texas,31.0,44871.0,3610,1,29.7520836,-95.2767055,Urban
48113003901,TX,1.94356,1.53453,-2.569405,48113003901,1,Dallas County,Texas,49.7,24750.0,1724,1,32.7599034,-96.7451821,Urban
48027020900,TX,1.909271,1.533642,-2.567918,48027020900,1,Bell County,Texas,52.9,29701.0,2998,1,31.0546534,-97.3328737,Urban
1097005000,AL,2.535274,1.532632,-2.566227,01097005000,1,Mobile County,Alabama,51.7,21087.0,1872,1,30.7606154,-88.1009585,Urban
37065020200,NC,1.992381,1.527413,-2.557489,37065020200,1,Edgecombe County,North Carolina,37.8,26996.0,6059,1,35.9126355,-77.7834944,Urban
26145000200,MI,2.116325,1.524966,-2.553391,26145000200,1,Saginaw County,Michigan,41.7,23472.0,1485,1,43.4443098,-83.9115294,Urban
34029731202,NJ,1.707467,1.524774,-2.553069,34029731202,1,Ocean County,New Jersey,5.6,57147.0,4509,1,39.9639999,-74.2762549,Urban
45031010700,SC,2.144159,1.517016,-2.54008,45031010700,1,Darlington County,South Carolina,36.7,31830.0,2819,1,34.3541929,-80.0756425,Urban
22071001751,LA,2.375507,1.516856,-2.539811,22071001751,1,Orleans Parish,Louisiana,78.8,16375.0,836,1,30.0292981,-89.910611,Urban
48427950701,TX,2.047563,1.51679,-2.539702,48427950701,1,Starr County,Texas,33.1,22096.0,3922,1,26.4129568,-99.0198318,Urban
28049000900,MS,2.523811,1.515719,-2.537908,28049000900,1,Hinds County,Mississippi,39.6,26571.0,2015,1,32.343648,-90.2098239,Urban
13021012400,GA,1.979259,1.515533,-2.537597,13021012400,1,Bibb County,Georgia,51.5,19718.0,4305,1,32.83842,-83.6940133,Urban
28001000400,MS,2.501253,1.511441,-2.530744,28001000400,1,Adams County,Mississippi,55.0,16346.0,3208,1,31.562953,-91.377612,Urban
17163502900,IL,1.88694,1.506947,-2.52322,17163502900,1,St. Clair County,Illinois,30.4,34107.0,2085,1,38.5864967,-90.0891888,Urban
48245005100,TX,1.966188,1.506304,-2.522144,48245005100,1,Jefferson County,Texas,15.9,52049.0,1043,1,29.9000079,-93.8944195,Urban
42101036400,PA,1.963745,1.505829,-2.521347,42101036400,1,Philadelphia County,Pennsylvania,45.0,58750.0,703,1,40.1127754,-74.9789088,Urban
4013071503,AZ,1.730748,1.504506,-2.519133,04013071503,1,Maricopa County,Arizona,6.7,45093.0,4708,1,33.6103118,-112.2784919,Urban
45041000800,SC,2.135394,1.504296,-2.518782,45041000800,1,Florence County,South Carolina,38.7,26346.0,4078,1,34.2077391,-79.747242,Urban
1097000500,AL,2.502745,1.500105,-2.511765,01097000500,1,Mobile County,Alabama,42.9,23596.0,1815,1,30.7051703,-88.0666709,Urban
48215022702,TX,1.947872,1.499781,-2.511221,48215022702,1,Hidalgo County,Texas,33.6,31883.0,5474,1,26.1274699,-97.9759672,Urban
1097003901,AL,2.501917,1.499284,-2.51039,01097003901,1,Mobile County,Alabama,31.4,30750.0,2076,1,30.7289036,-88.1118221,Urban
19013001800,IA,1.810457,1.498472,-2.50903,19013001800,1,Black Hawk County,Iowa,34.8,30208.0,1506,1,42.5082569,-92.3210473,Urban
20209040900,KS,2.080101,1.49772,-2.50777,20209040900,1,Wyandotte County,Kansas,36.9,30473.0,1292,1,39.1369607,-94.6254235,Urban
34001002500,NJ,1.668987,1.497628,-2.507616,34001002500,1,Atlantic County,New Jersey,32.7,32734.0,4030,1,39.3714673,-74.4159196,Urban
8005081500,CO,1.126745,1.496758,-2.50616,08005081500,1,Arapahoe County,Colorado,8.2,54737.0,3039,1,39.6624753,-104.8274015,Urban
4027000404,AZ,1.725293,1.493651,-2.500957,04027000404,1,Yuma County,Arizona,29.7,28809.0,3869,1,32.7177743,-114.6588001,Urban
4013071801,AZ,1.714443,1.488198,-2.491827,04013071801,1,Maricopa County,Arizona,12.3,47679.0,5148,1,33.5893833,-112.2782881,Urban
13095001500,GA,1.977272,1.485044,-2.486546,13095001500,1,Dougherty County,Georgia,49.7,26786.0,2896,1,31.5662059,-84.167185,Urban
13121008301,GA,1.982923,1.480716,-2.479299,13121008301,1,Fulton County,Georgia,30.0,35341.0,2903,1,33.764226,-84.4588619,Urban
13243790200,GA,2.028913,1.479175,-2.476718,13243790200,1,Randolph County,Georgia,39.0,33971.0,5821,1,31.7310825,-84.8217331,Urban
42021013400,PA,1.905594,1.478631,-2.475808,42021013400,1,Cambria County,Pennsylvania,48.8,19111.0,2633,1,40.3375223,-78.9143645,Urban
13095000200,GA,1.969975,1.477733,-2.474305,13095000200,1,Dougherty County,Georgia,62.3,23462.0,3123,1,31.5784225,-84.1295184,Urban
1097000702,AL,2.47623,1.473585,-2.467358,01097000702,1,Mobile County,Alabama,34.2,43125.0,2451,1,30.7211984,-88.0937856,Urban
37139960300,NC,1.959742,1.465699,-2.454154,37139960300,1,Pasquotank County,North Carolina,49.2,25208.0,2962,1,36.2894662,-76.2315275,Urban
47157022310,TN,2.199882,1.465014,-2.453008,47157022310,1,Shelby County,Tennessee,41.9,30683.0,5520,1,35.0452222,-90.074135,Urban
1073000700,AL,2.455045,1.461668,-2.447406,01073000700,1,Jefferson County,Alabama,59.1,15510.0,2577,1,33.5525405,-86.8016893,Urban
37191002000,NC,1.97496,1.461569,-2.447239,37191002000,1,Wayne County,North Carolina,21.3,27500.0,1093,1,35.3737324,-78.0180737,Urban
39151702100,OH,2.359396,1.461478,-2.447088,39151702100,1,Stark County,Ohio,40.0,31815.0,3390,1,40.7941966,-81.3515091,Urban
48309001400,TX,1.944865,1.460274,-2.445071,48309001400,1,McLennan County,Texas,47.6,24279.0,7399,1,31.5920111,-97.1315553,Urban
47053966900,TN,2.155405,1.460061,-2.444715,47053966900,1,Gibson County,Tennessee,37.2,31912.0,2658,1,35.8475401,-88.9575018,Urban
28049002200,MS,2.466612,1.458534,-2.442158,28049002200,1,Hinds County,Mississippi,53.9,21078.0,2450,1,32.3230862,-90.2352663,Urban
39151701800,OH,2.354799,1.457216,-2.439951,39151701800,1,Stark County,Ohio,51.8,25347.0,2263,1,40.8057484,-81.3435952,Urban
28075000600,MS,2.474648,1.456397,-2.438579,28075000600,1,Lauderdale County,Mississippi,51.4,21513.0,2101,1,32.3564988,-88.7118637,Urban
1097003902,AL,2.458663,1.456017,-2.437943,01097003902,1,Mobile County,Alabama,57.5,22460.0,969,1,30.721497,-88.1042631,Urban
21111001200,KY,2.252524,1.452717,-2.432419,21111001200,1,Jefferson County,Kentucky,32.6,37107.0,2811,1,38.2358229,-85.8245786,Urban
21111003000,KY,2.252013,1.452151,-2.43147,21111003000,1,Jefferson County,Kentucky,81.0,10123.0,3565,1,38.2540856,-85.769779,Urban
47157007500,TN,2.186924,1.451983,-2.431189,47157007500,1,Shelby County,Tennessee,30.3,33917.0,1581,1,35.0927785,-90.0318123,Urban
34029731203,NJ,1.633928,1.451527,-2.430425,34029731203,1,Ocean County,New Jersey,5.4,51094.0,1905,1,39.9555153,-74.2923352,Urban
13021012300,GA,1.910334,1.44672,-2.422376,13021012300,1,Bibb County,Georgia,36.4,33506.0,2851,1,32.8425459,-83.6741239,Urban
48113020200,TX,1.853769,1.44481,-2.419178,48113020200,1,Dallas County,Texas,34.2,37176.0,3678,1,32.6855277,-96.7107028,Urban
26049000100,MI,1.99792,1.44358,-2.417119,26049000100,1,Genesee County,Michigan,30.1,37983.0,2799,1,43.0722695,-83.7231281,Urban
26163507000,MI,2.040632,1.442198,-2.414805,26163507000,1,Wayne County,Michigan,52.3,26691.0,2948,1,42.4296948,-83.0621938,Urban
1097002302,AL,2.443285,1.440639,-2.412195,01097002302,1,Mobile County,Alabama,43.0,33292.0,2007,1,30.6524897,-88.0850029,Urban
17119400700,IL,1.80164,1.438589,-2.408762,17119400700,1,Madison County,Illinois,29.9,27226.0,1890,1,38.6719967,-90.1693156,Urban
35043940900,NM,2.115776,1.437924,-2.407649,35043940900,1,Sandoval County,New Mexico,68.0,17188.0,2668,0,36.0148129,-107.3476642,Rural
39023000902,OH,2.280948,1.432847,-2.399148,39023000902,1,Clark County,Ohio,29.8,29722.0,1244,1,39.9148733,-83.8301492,Urban
37107010500,NC,1.911197,1.430074,-2.394505,37107010500,1,Lenoir County,North Carolina,43.0,28214.0,3790,1,35.2833424,-77.5698721,Urban
37155960802,NC,1.929268,1.429018,-2.392736,37155960802,1,Robeson County,North Carolina,38.9,33824.0,1971,1,34.5919063,-78.9997035,Urban
17003957800,IL,1.745614,1.427092,-2.389511,17003957800,1,Alexander County,Illinois,45.1,24950.0,1528,1,37.0610007,-89.2058275,Urban
18097350300,IN,2.062275,1.424182,-2.384639,18097350300,1,Marion County,Indiana,41.7,23401.0,1959,1,39.8211605,-86.1592092,Urban
26145000800,MI,2.011274,1.419733,-2.37719,26145000800,1,Saginaw County,Michigan,30.2,34512.0,3249,1,43.4238551,-83.9142838,Urban
4027010910,AZ,1.651288,1.419627,-2.377012,04027010910,1,Yuma County,Arizona,18.3,45568.0,1758,1,32.704247,-114.3909806,Urban
51730810400,VA,1.887481,1.412992,-2.365903,51730810400,1,Petersburg city,Virginia,37.1,33667.0,1384,1,37.2226333,-77.4200554,Urban
22019001400,LA,2.243763,1.405222,-2.352893,22019001400,1,Calcasieu Parish,Louisiana,37.8,36370.0,5615,1,30.2686639,-93.1529031,Urban
4013615300,AZ,1.631427,1.404945,-2.352428,04013615300,1,Maricopa County,Arizona,15.1,52188.0,2259,1,33.6597472,-112.3007253,Urban
51041100406,VA,1.610346,1.401951,-2.347416,51041100406,1,Chesterfield County,Virginia,35.4,27422.0,1272,1,37.4198334,-77.4455696,Urban
22079012900,LA,2.259823,1.398015,-2.340825,22079012900,1,Rapides Parish,Louisiana,29.5,34625.0,2616,1,31.2939437,-92.4294377,Urban
34023008206,NJ,1.577004,1.397225,-2.339503,34023008206,1,Middlesex County,New Jersey,7.4,59174.0,3441,1,40.3340477,-74.4645186,Urban
26121001200,MI,1.978212,1.396062,-2.337556,26121001200,1,Muskegon County,Michigan,33.1,36818.0,2480,1,43.2102442,-86.2488215,Urban
26021000400,MI,1.935135,1.391612,-2.330104,26021000400,1,Berrien County,Michigan,55.8,18922.0,2141,1,42.1138132,-86.4582297,Urban
45007000600,SC,2.005204,1.386964,-2.322321,45007000600,1,Anderson County,South Carolina,49.5,27440.0,3084,1,34.4882459,-82.6349474,Urban
47157007821,TN,2.121171,1.386165,-2.320983,47157007821,1,Shelby County,Tennessee,47.5,24566.0,5903,1,35.079893,-90.0072307,Urban
26145000400,MI,1.976704,1.38561,-2.320054,26145000400,1,Saginaw County,Michigan,44.6,33942.0,1393,1,43.4325065,-83.9296472,Urban
21145030200,KY,2.197992,1.384924,-2.318906,21145030200,1,McCracken County,Kentucky,36.4,33671.0,2075,1,37.0705864,-88.5937931,Urban
6065044919,CA,1.420525,1.383762,-2.31696,06065044919,1,Riverside County,California,10.7,62933.0,4243,1,33.7653336,-116.3648177,Urban
42085033400,PA,1.834049,1.382295,-2.314505,42085033400,1,Mercer County,Pennsylvania,40.7,28727.0,2819,1,41.2059718,-80.5019268,Urban
48113008802,TX,1.790746,1.38191,-2.313859,48113008802,1,Dallas County,Texas,38.6,28559.0,5206,1,32.7102895,-96.7875068,Urban
1089001200,AL,2.379538,1.379996,-2.310655,01089001200,1,Madison County,Alabama,67.0,12330.0,3380,1,34.7332961,-86.6065569,Urban
51087201003,VA,1.604484,1.377691,-2.306795,51087201003,1,Henrico County,Virginia,20.9,62828.0,6020,1,37.560402,-77.3930985,Urban
28151000300,MS,2.424408,1.376642,-2.305039,28151000300,1,Washington County,Mississippi,33.8,26145.0,3583,1,33.4304468,-91.0301531,Urban
5069001300,AR,2.224832,1.376308,-2.304479,05069001300,1,Jefferson County,Arkansas,28.3,29940.0,1775,1,34.2212074,-92.0340918,Urban
48145000300,TX,1.796814,1.375626,-2.303338,48145000300,1,Falls County,Texas,40.8,37852.0,3708,1,31.3189459,-96.899117,Urban
48113008701,TX,1.784199,1.375183,-2.302595,48113008701,1,Dallas County,Texas,39.6,25135.0,4470,1,32.7008937,-96.7640305,Urban
45079000500,SC,2.020617,1.37493,-2.302171,45079000500,1,Richland County,South Carolina,53.2,21766.0,2194,1,34.0325295,-81.0314226,Urban
18003002800,IN,1.976129,1.374419,-2.301316,18003002800,1,Allen County,Indiana,42.7,33534.0,2065,1,41.0570562,-85.1209457,Urban
13095001403,GA,1.862305,1.370088,-2.294064,13095001403,1,Dougherty County,Georgia,36.8,30179.0,2953,1,31.5600912,-84.1574869,Urban
48303000900,TX,1.851868,1.369806,-2.293592,48303000900,1,Lubbock County,Texas,37.5,31667.0,5096,1,33.6041524,-101.8199757,Urban
1073004000,AL,2.360104,1.366737,-2.288454,01073004000,1,Jefferson County,Alabama,43.6,30139.0,3772,1,33.4953226,-86.8515883,Urban
13121008302,GA,1.864855,1.362696,-2.281687,13121008302,1,Fulton County,Georgia,31.5,39375.0,2000,1,33.7573898,-84.452286,Urban
48439103602,TX,1.895926,1.361109,-2.279031,48439103602,1,Tarrant County,Texas,37.2,37986.0,2105,1,32.7262157,-97.2311902,Urban
37119003802,NC,1.843607,1.357814,-2.273513,37119003802,1,Mecklenburg County,North Carolina,32.7,37333.0,3414,1,35.191232,-80.8880917,Urban
37191001500,NC,1.871224,1.357414,-2.272844,37191001500,1,Wayne County,North Carolina,31.6,33021.0,2587,1,35.3537976,-77.9976206,Urban
39095006600,OH,2.229082,1.353313,-2.265977,39095006600,1,Lucas County,Ohio,39.1,42667.0,2625,1,41.6427943,-83.6183283,Urban
37045950900,NC,1.809635,1.352079,-2.263911,37045950900,1,Cleveland County,North Carolina,30.6,31936.0,2952,1,35.308493,-81.5394772,Urban
45007000700,SC,1.967605,1.349741,-2.259996,45007000700,1,Anderson County,South Carolina,45.3,26317.0,4495,1,34.4939131,-82.6616905,Urban
34023008207,NJ,1.528952,1.348977,-2.258716,34023008207,1,Middlesex County,New Jersey,6.1,66129.0,2476,1,40.329927,-74.4452653,Urban
48201332300,TX,1.789343,1.346418,-2.254431,48201332300,1,Harris County,Texas,22.4,45792.0,2918,1,29.6665461,-95.3234948,Urban
48037010400,TX,1.725796,1.346393,-2.25439,48037010400,1,Bowie County,Texas,43.8,36649.0,4237,1,33.4041305,-94.0751332,Urban
6025012400,CA,1.688585,1.345896,-2.253558,06025012400,1,Imperial County,California,15.1,43419.0,1266,0,33.2021663,-115.1129244,Rural
48141003702,TX,1.763915,1.344249,-2.250799,48141003702,1,El Paso County,Texas,38.5,28717.0,4738,1,31.7409899,-106.3827659,Urban
45079010502,SC,1.989787,1.343777,-2.250009,45079010502,1,Richland County,South Carolina,51.1,18261.0,643,1,34.0302758,-81.0638159,Urban
17163500500,IL,1.723452,1.343452,-2.249465,17163500500,1,St. Clair County,Illinois,44.6,30441.0,2685,1,38.6323417,-90.1066757,Urban
39099800300,OH,2.220423,1.342784,-2.248348,39099800300,1,Mahoning County,Ohio,28.4,41250.0,1266,1,41.1040562,-80.6036098,Urban
49037942100,UT,1.475911,1.336749,-2.238242,49037942100,1,San Juan County,Utah,43.1,28250.0,2187,0,37.1031945,-110.3979381,Rural
18089012600,IN,1.97008,1.33504,-2.235381,18089012600,1,Lake County,Indiana,29.3,34694.0,2707,1,41.541464,-87.3263067,Urban
1131034700,AL,2.671465,1.334255,-2.234065,01131034700,1,Wilcox County,Alabama,52.7,18750.0,1308,0,32.1518072,-87.4046392,Rural
45079010804,SC,1.977627,1.331866,-2.230065,45079010804,1,Richland County,South Carolina,27.2,39773.0,2405,1,34.0549353,-80.9888888,Urban
1097004100,AL,2.3343,1.331656,-2.229714,01097004100,1,Mobile County,Alabama,44.5,22396.0,910,1,30.7315772,-88.0933548,Urban
26049001000,MI,1.885982,1.331614,-2.229644,26049001000,1,Genesee County,Michigan,37.8,36542.0,2583,1,43.0385775,-83.7088609,Urban
26147624000,MI,1.92329,1.330882,-2.228418,26147624000,1,St. Clair County,Michigan,62.3,19816.0,2014,1,42.9721753,-82.4253007,Urban
48201332400,TX,1.773236,1.330199,-2.227275,48201332400,1,Harris County,Texas,17.0,35142.0,4271,1,29.6581951,-95.3305738,Urban
48113002701,TX,1.738472,1.329805,-2.226614,48113002701,1,Dallas County,Texas,40.2,29107.0,3033,1,32.7725531,-96.7407168,Urban
48225950400,TX,1.782259,1.329606,-2.226283,48225950400,1,Houston County,Texas,36.8,28560.0,3138,1,31.3074972,-95.456634,Urban
37067000500,NC,1.791897,1.326286,-2.220723,37067000500,1,Forsyth County,North Carolina,41.7,27045.0,2391,1,36.1174831,-80.2280518,Urban
4015950401,AZ,1.873434,1.324661,-2.218001,04015950401,1,Mohave County,Arizona,46.9,46618.0,2051,0,35.5697849,-114.1715228,Rural
36067005800,NY,1.58609,1.324236,-2.217291,36067005800,1,Onondaga County,New York,49.1,26833.0,2510,1,43.0199057,-76.1526432,Urban
48141003602,TX,1.742408,1.322853,-2.214975,48141003602,1,El Paso County,Texas,30.1,30104.0,3043,1,31.7547941,-106.4083087,Urban
5037950100,AR,2.479478,1.32157,-2.212827,05037950100,1,Cross County,Arkansas,27.4,30455.0,1454,0,35.2863059,-90.5847536,Rural
48423000700,TX,1.847477,1.318893,-2.208344,48423000700,1,Smith County,Texas,33.8,33362.0,4312,1,32.3229329,-95.3312483,Urban
18089010400,IN,1.953111,1.318085,-2.206992,18089010400,1,Lake County,Indiana,36.9,40644.0,3274,1,41.6022892,-87.3622896,Urban
6065044522,CA,1.354696,1.317973,-2.206803,06065044522,1,Riverside County,California,25.6,43350.0,4876,1,33.9047546,-116.6027479,Urban
47065001900,TN,2.015309,1.315864,-2.203272,47065001900,1,Hamilton County,Tennessee,46.0,24118.0,3959,1,35.0037462,-85.3148911,Urban
22019000200,LA,2.154434,1.315768,-2.203111,22019000200,1,Calcasieu Parish,Louisiana,36.5,39444.0,1511,1,30.2467539,-93.2184145,Urban
6059099510,CA,1.350035,1.315583,-2.202803,06059099510,1,Orange County,California,12.5,54333.0,4058,1,33.7652387,-118.0877857,Urban
36055006900,NY,1.570988,1.313802,-2.19982,36055006900,1,Monroe County,New York,45.2,25625.0,1907,1,43.132452,-77.6340679,Urban
9009141500,CT,1.45991,1.31223,-2.197187,09009141500,1,New Haven County,Connecticut,34.0,27133.0,6873,1,41.3285795,-72.9339147,Urban
17201002400,IL,1.702651,1.308211,-2.190459,17201002400,1,Winnebago County,Illinois,55.6,22551.0,2696,1,42.2705298,-89.1397673,Urban
